Processing complete!
Files with errors: 2707

============================================================
TIME SIGNATURE STATISTICS:
============================================================
Total distinct time signatures found: 334
Total time signature annotations: 6,784,003,598

All time signatures found (sorted by frequency):
  30/8    :        414 occurrences (  0.00%)
  35/8    :        386 occurrences (  0.00%)
  33/4    :        384 occurrences (  0.00%)
  74/2    :        370 occurrences (  0.00%)
  21/1    :        368 occurrences (  0.00%)
  8/32    :        366 occurrences (  0.00%)
  37/16   :        354 occurrences (  0.00%)
  20/2    :        344 occurrences (  0.00%)
  54/8    :        328 occurrences (  0.00%)
  43/8    :        305 occurrences (  0.00%)
  42/8    :        301 occurrences (  0.00%)
  28/32   :        295 occurrences (  0.00%)
  49/32   :        280 occurrences (  0.00%)
  71/16   :        276 occurrences (  0.00%)
  36/4    :        275 occurrences (  0.00%)
  39/32   :        266 occurrences (  0.00%)
  99/8    :        265 occurrences (  0.00%)
  62/32   :        260 occurrences (  0.00%)
  160/16  :        244 occurrences (  0.00%)
  88/4    :        243 occurrences (  0.00%)
  73/32   :        240 occurrences (  0.00%)
  39/8    :        226 occurrences (  0.00%)
  75/8    :        224 occurrences (  0.00%)
  63/32   :        213 occurrences (  0.00%)
  36/8    :        212 occurrences (  0.00%)
  23/1    :        207 occurrences (  0.00%)
  65/16   :        206 occurrences (  0.00%)
  89/32   :        201 occurrences (  0.00%)
  45/4    :        200 occurrences (  0.00%)
  48/4    :        190 occurrences (  0.00%)
  17/2    :        184 occurrences (  0.00%)
  87/8    :        183 occurrences (  0.00%)
  41/16   :        180 occurrences (  0.00%)
  30/2    :        167 occurrences (  0.00%)
  35/16   :        164 occurrences (  0.00%)
  27/2    :        164 occurrences (  0.00%)
  43/16   :        161 occurrences (  0.00%)
  25/2    :        158 occurrences (  0.00%)
  39/4    :        149 occurrences (  0.00%)
  62/4    :        149 occurrences (  0.00%)
  34/2    :        149 occurrences (  0.00%)
  187/32  :        148 occurrences (  0.00%)
  51/8    :        147 occurrences (  0.00%)
  28/2    :        143 occurrences (  0.00%)
  49/8    :        142 occurrences (  0.00%)
  5/32    :        135 occurrences (  0.00%)
  47/16   :        132 occurrences (  0.00%)
  31/2    :        131 occurrences (  0.00%)
  22/32   :        129 occurrences (  0.00%)
  56/16   :        127 occurrences (  0.00%)
  46/4    :        127 occurrences (  0.00%)
  44/4    :        124 occurrences (  0.00%)
  26/32   :        124 occurrences (  0.00%)
  72/32   :        122 occurrences (  0.00%)
  85/8    :        116 occurrences (  0.00%)
  7/32    :        115 occurrences (  0.00%)
  47/32   :        114 occurrences (  0.00%)
  34/32   :        112 occurrences (  0.00%)
  6/32    :        112 occurrences (  0.00%)
  61/16   :        110 occurrences (  0.00%)
  34/8    :        104 occurrences (  0.00%)
  141/32  :        102 occurrences (  0.00%)
  18/32   :         99 occurrences (  0.00%)
  44/8    :         88 occurrences (  0.00%)
  15/2    :         85 occurrences (  0.00%)
  32/2    :         85 occurrences (  0.00%)
  36/16   :         85 occurrences (  0.00%)
  77/8    :         84 occurrences (  0.00%)
  64/32   :         81 occurrences (  0.00%)
  65/32   :         76 occurrences (  0.00%)
  46/8    :         76 occurrences (  0.00%)
  18/64   :         75 occurrences (  0.00%)
  91/16   :         74 occurrences (  0.00%)
  46/32   :         73 occurrences (  0.00%)
  73/8    :         73 occurrences (  0.00%)
  45/32   :         70 occurrences (  0.00%)
  110/32  :         67 occurrences (  0.00%)
  40/8    :         66 occurrences (  0.00%)
  66/8    :         64 occurrences (  0.00%)
  36/2    :         63 occurrences (  0.00%)
  63/16   :         63 occurrences (  0.00%)
  19/2    :         63 occurrences (  0.00%)
  50/4    :         56 occurrences (  0.00%)
  40/32   :         54 occurrences (  0.00%)
  53/16   :         51 occurrences (  0.00%)
  10/32   :         50 occurrences (  0.00%)
  69/8    :         48 occurrences (  0.00%)
  96/32   :         46 occurrences (  0.00%)
  38/8    :         44 occurrences (  0.00%)
  72/8    :         44 occurrences (  0.00%)
  22/64   :         44 occurrences (  0.00%)
  57/8    :         36 occurrences (  0.00%)
  58/8    :         35 occurrences (  0.00%)
  53/8    :         34 occurrences (  0.00%)
  17/64   :         34 occurrences (  0.00%)
  50/16   :         33 occurrences (  0.00%)
  41/4    :         32 occurrences (  0.00%)
  47/4    :         29 occurrences (  0.00%)
  59/32   :         28 occurrences (  0.00%)
  55/16   :         27 occurrences (  0.00%)
  69/16   :         23 occurrences (  0.00%)
  63/8    :         21 occurrences (  0.00%)
  21/64   :         20 occurrences (  0.00%)
  38/16   :         19 occurrences (  0.00%)
  40/16   :         18 occurrences (  0.00%)
  57/16   :         17 occurrences (  0.00%)
  42/16   :         14 occurrences (  0.00%)
  56/32   :         12 occurrences (  0.00%)
  2/32    :          1 occurrences (  0.00%)
