Processing complete!
Files with errors: 2707

============================================================
TIME SIGNATURE STATISTICS:
============================================================
Total distinct time signatures found: 334
Total time signature annotations: 6,784,003,598

All time signatures found (sorted by frequency):
  118. 44/32   :      5,210 occurrences (  0.00%)
  119. 22/4    :      4,822 occurrences (  0.00%)
  120. 33/32   :      4,782 occurrences (  0.00%)
  121. 25/16   :      4,754 occurrences (  0.00%)
  122. 31/8    :      4,705 occurrences (  0.00%)
  123. 48/16   :      4,533 occurrences (  0.00%)
  124. 23/8    :      4,166 occurrences (  0.00%)
  125. 35/4    :      4,015 occurrences (  0.00%)
  126. 22/16   :      3,849 occurrences (  0.00%)
  127. 48/32   :      3,776 occurrences (  0.00%)
  128. 29/32   :      3,693 occurrences (  0.00%)
  129. 9/2     :      3,565 occurrences (  0.00%)
  130. 37/32   :      3,502 occurrences (  0.00%)
  131. 20/1    :      3,444 occurrences (  0.00%)
  132. 30/16   :      3,358 occurrences (  0.00%)
  133. 3/32    :      3,321 occurrences (  0.00%)
  134. 16/2    :      3,292 occurrences (  0.00%)
  135. 68/4    :      3,272 occurrences (  0.00%)
  136. 28/4    :      3,225 occurrences (  0.00%)
  137. 23/4    :      3,120 occurrences (  0.00%)
  138. 27/8    :      3,094 occurrences (  0.00%)
  139. 7/1     :      3,031 occurrences (  0.00%)
  140. 27/4    :      2,935 occurrences (  0.00%)
  141. 27/1    :      2,863 occurrences (  0.00%)
  142. 29/16   :      2,850 occurrences (  0.00%)
  143. 9/32    :      2,759 occurrences (  0.00%)
  144. 25/8    :      2,633 occurrences (  0.00%)
  145. 140/8   :      2,572 occurrences (  0.00%)
  146. 16/64   :      2,560 occurrences (  0.00%)
  147. 9/1     :      2,521 occurrences (  0.00%)
  148. 31/32   :      2,402 occurrences (  0.00%)
  149. 31/16   :      2,368 occurrences (  0.00%)
  150. 11/2    :      2,259 occurrences (  0.00%)
  151. 93/32   :      2,233 occurrences (  0.00%)
  152. 26/4    :      2,214 occurrences (  0.00%)
  153. 22/8    :      2,178 occurrences (  0.00%)
  154. 31/4    :      2,080 occurrences (  0.00%)
  155. 18/2    :      2,077 occurrences (  0.00%)
  156. 51/32   :      2,009 occurrences (  0.00%)
  157. 29/8    :      1,994 occurrences (  0.00%)
  158. 15/32   :      1,967 occurrences (  0.00%)
  159. 10/1    :      1,953 occurrences (  0.00%)
  160. 121/8   :      1,938 occurrences (  0.00%)
  161. 29/4    :      1,825 occurrences (  0.00%)
  162. 86/32   :      1,746 occurrences (  0.00%)
  163. 4/128   :      1,631 occurrences (  0.00%)
  164. 38/4    :      1,613 occurrences (  0.00%)
  165. 14/2    :      1,584 occurrences (  0.00%)
  166. 26/1    :      1,572 occurrences (  0.00%)
  167. 45/16   :      1,549 occurrences (  0.00%)
  168. 134/8   :      1,538 occurrences (  0.00%)
  169. 30/32   :      1,484 occurrences (  0.00%)
  170. 45/8    :      1,459 occurrences (  0.00%)
  171. 13/1    :      1,455 occurrences (  0.00%)
  172. 11/32   :      1,431 occurrences (  0.00%)
  173. 12/1    :      1,329 occurrences (  0.00%)
  174. 32/16   :      1,318 occurrences (  0.00%)
  175. 22/1    :      1,307 occurrences (  0.00%)
  176. 18/1    :      1,239 occurrences (  0.00%)
  177. 15/1    :      1,232 occurrences (  0.00%)
  178. 24/32   :      1,218 occurrences (  0.00%)
  179. 57/32   :      1,215 occurrences (  0.00%)
  180. 120/4   :      1,204 occurrences (  0.00%)
  181. 19/1    :      1,200 occurrences (  0.00%)
  182. 24/2    :      1,134 occurrences (  0.00%)
  183. 30/4    :      1,104 occurrences (  0.00%)
  184. 37/8    :      1,098 occurrences (  0.00%)
  185. 133/4   :      1,014 occurrences (  0.00%)
  186. 34/4    :        976 occurrences (  0.00%)
  187. 23/32   :        975 occurrences (  0.00%)
  188. 38/32   :        969 occurrences (  0.00%)
  189. 39/16   :        925 occurrences (  0.00%)
  190. 14/1    :        908 occurrences (  0.00%)
  191. 29/1    :        883 occurrences (  0.00%)
  192. 26/16   :        875 occurrences (  0.00%)
